# Hyperlattice Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 263 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[2449]` |
| 264 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[2519]` |
| 265 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[2997]` |
| 266 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[3179]` |
| 267 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[3210]` |
| 268 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[3890]` |
| 269 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[3907]` |
| 270 | 8.080 us | `cargo-fuzz` | `matrix_ops` | `seed[2230]` |
| 271 | 8.080 us | `cargo-fuzz` | `matrix_ops` | `seed[2932]` |
| 272 | 8.080 us | `cargo-fuzz` | `matrix_ops` | `seed[3841]` |
| 273 | 8.079 us | `cargo-fuzz` | `matrix_ops` | `seed[277]` |
| 274 | 8.079 us | `cargo-fuzz` | `matrix_ops` | `seed[2954]` |
| 275 | 8.079 us | `cargo-fuzz` | `matrix_ops` | `seed[3177]` |
| 276 | 8.079 us | `cargo-fuzz` | `matrix_ops` | `seed[3322]` |
| 277 | 8.079 us | `cargo-fuzz` | `matrix_ops` | `seed[3560]` |
| 278 | 8.079 us | `cargo-fuzz` | `matrix_ops` | `seed[3732]` |
| 279 | 8.070 us | `cargo-fuzz` | `matrix_ops` | `seed[2911]` |
| 280 | 8.070 us | `cargo-fuzz` | `matrix_ops` | `seed[2979]` |
| 281 | 8.070 us | `cargo-fuzz` | `matrix_ops` | `seed[3772]` |
| 282 | 8.069 us | `cargo-fuzz` | `matrix_ops` | `seed[2377]` |
| 283 | 8.069 us | `cargo-fuzz` | `matrix_ops` | `seed[2522]` |
| 284 | 8.069 us | `cargo-fuzz` | `matrix_ops` | `seed[2985]` |
| 285 | 8.069 us | `cargo-fuzz` | `matrix_ops` | `seed[2987]` |
| 286 | 8.069 us | `cargo-fuzz` | `matrix_ops` | `seed[3284]` |
| 287 | 8.069 us | `cargo-fuzz` | `matrix_ops` | `seed[3564]` |
| 288 | 8.069 us | `cargo-fuzz` | `matrix_ops` | `seed[3839]` |
| 289 | 8.060 us | `cargo-fuzz` | `matrix_ops` | `seed[28]` |
| 290 | 8.060 us | `cargo-fuzz` | `matrix_ops` | `seed[806]` |
| 291 | 8.060 us | `cargo-fuzz` | `matrix_ops` | `seed[2523]` |
| 292 | 8.060 us | `cargo-fuzz` | `matrix_ops` | `seed[3309]` |
| 293 | 8.060 us | `cargo-fuzz` | `matrix_ops` | `seed[3663]` |
| 294 | 8.059 us | `cargo-fuzz` | `matrix_ops` | `seed[3133]` |
| 295 | 8.059 us | `cargo-fuzz` | `matrix_ops` | `seed[3226]` |
| 296 | 8.059 us | `cargo-fuzz` | `matrix_ops` | `seed[3321]` |
| 297 | 8.059 us | `cargo-fuzz` | `matrix_ops` | `seed[3713]` |
| 298 | 8.050 us | `cargo-fuzz` | `matrix_ops` | `seed[2251]` |
| 299 | 8.050 us | `cargo-fuzz` | `matrix_ops` | `seed[2254]` |
| 300 | 8.050 us | `cargo-fuzz` | `matrix_ops` | `seed[2300]` |
| 301 | 8.050 us | `cargo-fuzz` | `matrix_ops` | `seed[3733]` |
| 302 | 8.049 us | `cargo-fuzz` | `matrix_ops` | `seed[2514]` |
| 303 | 8.049 us | `cargo-fuzz` | `matrix_ops` | `seed[3021]` |
| 304 | 8.049 us | `cargo-fuzz` | `matrix_ops` | `seed[3274]` |
| 305 | 8.049 us | `cargo-fuzz` | `matrix_ops` | `seed[3283]` |
| 306 | 8.040 us | `cargo-fuzz` | `matrix_ops` | `seed[2255]` |
| 307 | 8.040 us | `cargo-fuzz` | `matrix_ops` | `seed[2416]` |
| 308 | 8.040 us | `cargo-fuzz` | `matrix_ops` | `seed[2892]` |
